iter	Passed	Remaining
399	45593	68390
400	45701	68266
401	45812	68148
402	45931	68041
403	46033	67910
404	46136	67780
405	46241	67653
406	46343	67523
407	46451	67400
408	46573	67298
409	46681	67176
410	46790	67055
411	46919	66962
412	47025	66837
413	47125	66704
414	47246	66600
415	47363	66491
416	47478	66378
417	47625	66310
418	47739	66197
419	47849	66077
420	47952	65948
421	48060	65826
422	48172	65710
423	48278	65586
424	48381	65457
425	48503	65354
426	48609	65230
427	48724	65117
428	48835	64999
429	48937	64871
430	49044	64747
431	49150	64624
432	49253	64496
433	49354	64365
434	49464	64246
435	49571	64124
436	49680	64004
437	49801	63900
438	49909	63779
439	50028	63672
440	50136	63551
441	50243	63429
442	50347	63303
443	50461	63189
444	50584	63088
445	50693	62968
446	50801	62848
447	50912	62731
448	51018	62608
449	51135	62498
450	51239	62373
451	51353	62260
452	51466	62146
453	51582	62035
454	51682	61905
455	51796	61792
456	51914	61684
457	52023	61565
458	52129	61442
459	52237	61322
460	52343	61199
461	52445	61072
462	52553	60952
463	52676	60850
464	52799	60747
465	52911	60632
466	53027	60522
467	53132	60398
468	53240	60278
469	53351	60162
470	53456	60039
471	53569	59924
472	53672	59799
473	53780	59680
474	53893	59566
475	54012	59458
476	54128	59348
477	54246	59239
478	54364	59131
479	54473	59012
480	54578	58890
481	54683	58767
482	54825	58685
483	54942	58575
484	55053	58458
485	55168	58347
486	55271	58222
487	55389	58114
488	55495	57992
489	55600	57869
490	55711	57753
491	55825	57640
492	55939	57527
493	56057	57419
494	56189	57324
495	56308	57216
496	56430	57111
497	56545	56999
498	56647	56874
499	56752	56752
500	56867	56640
501	56982	56528
502	57098	56417
503	57204	56296
504	57313	56178
505	57422	56060
506	57561	55971
507	57668	55852
508	57777	55734
509	57884	55614
510	57990	55494
511	58105	55382
512	58215	55264
513	58329	55152
514	58434	55030
515	58550	54919
516	58664	54806
517	58788	54703
518	58915	54601
519	59031	54490
520	59152	54384
521	59269	54274
522	59373	54151
523	59475	54027
524	59592	53916
525	59696	53794
526	59808	53680
527	59910	53556
528	60013	53433
529	60124	53317
530	60236	53203
531	60343	53084
532	60471	52983
533	60584	52869
534	60710	52766
535	60833	52662
536	60947	52548
537	61069	52442
538	61179	52325
539	61291	52210
540	61403	52096
541	61504	51972
542	61610	51853
543	61732	51745
544	61846	51633
545	61966	51525
546	62083	51414
547	62185	51291
548	62300	51179
549	62422	51072
550	62542	50964
551	62654	50849
552	62768	50737
553	62869	50613
554	62974	50493
555	63084	50376
556	63187	50255
557	63302	50142
558	63411	50025
559	63520	49908
560	63638	49798
561	63770	49699
562	63886	49588
563	63987	49465
564	64102	49353
565	64219	49242
566	64323	49121
567	64428	49001
568	64535	48883
569	64650	48771
570	64756	48652
571	64870	48539
572	64975	48420
573	65089	48306
574	65204	48194
575	65318	48081
576	65424	47962
577	65543	47853
578	65659	47741
579	65777	47631
580	65890	47518
581	65995	47398
582	66113	47288
583	66227	47176
584	66341	47062
585	66452	46948
586	66555	46827
587	66663	46709
588	66773	46593
589	66880	46476
590	66995	46363
591	67099	46244
592	67206	46126
593	67318	46012
594	67431	45898
595	67561	45796
596	67669	45680
597	67771	45558
598	67874	45438
599	67982	45321
600	68093	45206
601	68203	45091
602	68304	44969
603	68418	44856
604	68535	44746
605	68652	44635
606	68775	44528
607	68890	44415
608	68999	44299
609	69124	44194
610	69240	44082
611	69341	43961
612	69453	43847
613	69571	43737
614	69675	43618
615	69788	43504
616	69899	43389
617	70010	43275
618	70119	43159
619	70229	43043
620	70341	42929
621	70456	42817
622	70564	42700
623	70667	42581
624	70796	42477
625	70921	42371
626	71031	42256
627	71148	42145
628	71256	42028
629	71376	41919
630	71492	41807
631	71598	41690
632	71699	41569
633	71810	41455
634	71927	41344
635	72040	41230
636	72149	41114
637	72265	41003
638	72370	40885
639	72483	40772
640	72588	40654
641	72695	40537
642	72799	40419
643	72906	40302
644	73012	40185
645	73136	40078
646	73286	39984
647	73410	39877
648	73529	39766
649	73634	39649
650	73753	39539
651	73862	39423
652	73971	39308
653	74073	39188
654	74175	39069
655	74292	38958
656	74403	38843
657	74517	38730
658	74632	38618
659	74738	38501
660	74863	38394
661	75000	38293
662	75109	38177
663	75230	38068
664	75340	37953
665	75444	37835
666	75551	37719
667	75661	37604
668	75765	37486
669	75878	37373
670	75984	37256
671	76104	37146
672	76212	37030
673	76330	36919
674	76466	36817
675	76588	36707
676	76706	36596
677	76806	36477
678	76910	36359
679	77015	36242
680	77120	36125
681	77231	36011
682	77345	35898
683	77459	35785
684	77566	35669
685	77676	35554
686	77794	35443
687	77913	35332
688	78035	35223
689	78154	35112
690	78271	35001
691	78391	34890
692	78511	34780
693	78625	34667
694	78730	34550
695	78845	34438
696	78955	34323
697	79091	34220
698	79217	34112
699	79326	33996
700	79439	33883
701	79553	33770
702	79662	33655
703	79759	33535
704	79861	33417
705	79971	33302
706	80083	33188
707	80183	33070
708	80298	32957
709	80411	32844
710	80527	32732
711	80650	32622
712	80753	32505
713	80865	32391
714	80966	32273
715	81085	32162
716	81200	32049
717	81316	31937
718	81420	31820
719	81529	31705
720	81636	31590
721	81740	31473
722	81846	31357
723	81952	31241
724	82057	31125
725	82167	31010
726	82277	30896
727	82397	30785
728	82518	30675
729	82640	30565
730	82761	30455
731	82875	30342
732	82989	30229
733	83094	30113
734	83213	30002
735	83347	29896
736	83476	29788
737	83587	29674
738	83693	29558
739	83797	29442
740	83913	29329
741	84016	29213
742	84133	29101
743	84252	28990
744	84356	28873
745	84467	28759
746	84584	28647
747	84699	28535
748	84817	28423
749	84928	28309
750	85030	28192
751	85152	28082
752	85254	27965
753	85372	27853
754	85480	27738
755	85587	27623
756	85700	27510
757	85819	27398
758	85928	27284
759	86044	27171
760	86155	27058
761	86257	26941
762	86371	26828
763	86476	26712
764	86578	26596
765	86676	26478
766	86783	26363
767	86885	26246
768	87018	26139
769	87155	26033
770	87267	25919
771	87369	25803
772	87472	25687
773	87575	25571
774	87695	25459
775	87803	25345
776	87918	25232
777	88023	25117
778	88136	25004
779	88236	24887
780	88346	24773
781	88455	24658
782	88558	24542
783	88677	24431
784	88774	24314
785	88881	24199
786	89002	24088
787	89125	23977
788	89244	23866
789	89369	23756
790	89515	23652
791	89629	23539
792	89749	23427
793	89857	23313
794	89971	23200
795	90075	23084
796	90187	22971
797	90297	22857
798	90405	22742
799	90507	22626
800	90610	22511
801	90732	22400
802	90868	22292
803	90989	22181
804	91101	22068
805	91209	21953
806	91323	21840
807	91422	21724
808	91534	21610
809	91640	21495
810	91746	21381
811	91859	21268
812	91966	21153
813	92068	21037
814	92179	20924
815	92301	20813
816	92420	20701
817	92537	20589
818	92647	20475
819	92762	20362
820	92878	20249
821	92982	20134
822	93093	20021
823	93201	19907
824	93317	19794
825	93425	19680
826	93538	19567
827	93644	19452
828	93748	19337
829	93866	19225
830	93970	19110
831	94071	18995
832	94178	18880
833	94286	18766
834	94396	18653
835	94504	18539
836	94614	18425
837	94731	18313
838	94841	18199
839	94939	18083
840	95050	17970
841	95149	17854
842	95268	17742
843	95383	17630
844	95485	17515
845	95584	17399
846	95698	17286
847	95799	17171
848	95919	17059
849	96034	16947
850	96139	16832
851	96260	16721
852	96374	16608
853	96487	16495
854	96617	16385
855	96723	16271
856	96838	16158
857	96956	16046
858	97065	15932
859	97164	15817
860	97271	15703
861	97387	15591
862	97506	15479
863	97631	15367
864	97733	15253
865	97850	15140
866	97965	15028
867	98076	14914
868	98188	14801
869	98301	14688
870	98412	14575
871	98510	14460
872	98608	14345
873	98710	14230
874	98827	14118
875	98954	14007
876	99096	13898
877	99208	13785
878	99329	13673
879	99434	13559
880	99542	13445
881	99642	13330
882	99764	13219
883	99866	13104
884	99985	12992
885	100100	12879
886	100218	12767
887	100329	12654
888	100439	12540
889	100567	12429
890	100697	12318
891	100848	12210
892	100967	12098
893	101070	11983
894	101183	11870
895	101298	11757
896	101414	11645
897	101524	11531
898	101636	11418
899	101752	11305
900	101883	11194
901	102008	11082
902	102107	10968
903	102219	10855
904	102332	10742
905	102451	10629
906	102567	10516
907	102667	10402
908	102781	10289
909	102883	10175
910	102986	10061
911	103092	9947
912	103212	9835
913	103329	9722
914	103427	9607
915	103531	9494
916	103650	9381
917	103767	9268
918	103885	9156
919	104003	9043
920	104135	8932
921	104255	8819
922	104362	8706
923	104465	8592
924	104564	8478
925	104683	8365
926	104783	8251
927	104898	8138
928	104998	8024
929	105107	7911
930	105218	7798
931	105323	7684
932	105423	7570
933	105530	7457
934	105645	7344
935	105762	7231
936	105875	7118
937	105999	7006
938	106109	6893
939	106214	6779
940	106331	6666
941	106460	6554
942	106572	6441
943	106697	6329
944	106821	6217
945	106936	6104
946	107044	5990
947	107165	5878
948	107276	5765
949	107397	5652
950	107504	5539
951	107622	5426
952	107738	5313
953	107844	5200
954	107949	5086
955	108065	4973
956	108190	4861
957	108308	4748
958	108453	4636
959	108568	4523
960	108678	4410
961	108784	4297
962	108898	4184
963	109001	4070
964	109112	3957
965	109230	3844
966	109351	3731
967	109459	3618
968	109570	3505
969	109679	3392
970	109789	3279
971	109918	3166
972	110037	3053
973	110167	2940
974	110281	2827
975	110401	2714
976	110518	2601
977	110633	2488
978	110734	2375
979	110845	2262
980	110948	2148
981	111057	2035
982	111178	1922
983	111304	1809
984	111436	1697
985	111557	1583
986	111659	1470
987	111771	1357
988	111876	1244
989	111978	1131
990	112097	1018
991	112214	904
992	112322	791
993	112426	678
994	112527	565
995	112631	452
996	112764	339
997	112881	226
998	112991	113
999	113112	0
